18:11:20 system        | socketio.1 started (pid=37299)
18:11:20 system        | worker.1 started (pid=37300)
18:11:20 system        | watch.1 started (pid=37301)
18:11:20 system        | redis_queue.1 started (pid=37302)
18:11:20 system        | web.1 started (pid=37303)
18:11:20 system        | redis_cache.1 started (pid=37304)
18:11:20 system        | schedule.1 started (pid=37306)
18:11:20 redis_queue.1 | 37302:C 31 Aug 2025 18:11:20.677 * oO0OoO0OoO0Oo Redis is starting oO0OoO0OoO0Oo
18:11:20 redis_queue.1 | 37302:C 31 Aug 2025 18:11:20.677 * Redis version=8.2.0, bits=64, commit=00000000, modified=1, pid=37302, just started
18:11:20 redis_queue.1 | 37302:C 31 Aug 2025 18:11:20.677 * Configuration loaded
18:11:20 redis_queue.1 | 37302:M 31 Aug 2025 18:11:20.678 * monotonic clock: POSIX clock_gettime
18:11:20 redis_queue.1 | 37302:M 31 Aug 2025 18:11:20.678 * Running mode=standalone, port=11002.
18:11:20 redis_queue.1 | 37302:M 31 Aug 2025 18:11:20.678 # WARNING: The TCP backlog setting of 511 cannot be enforced because kern.ipc.somaxconn is set to the lower value of 128.
18:11:20 redis_queue.1 | 37302:M 31 Aug 2025 18:11:20.678 * Server initialized
18:11:20 redis_cache.1 | 37304:C 31 Aug 2025 18:11:20.678 * oO0OoO0OoO0Oo Redis is starting oO0OoO0OoO0Oo
18:11:20 redis_cache.1 | 37304:C 31 Aug 2025 18:11:20.678 * Redis version=8.2.0, bits=64, commit=00000000, modified=1, pid=37304, just started
18:11:20 redis_cache.1 | 37304:C 31 Aug 2025 18:11:20.678 * Configuration loaded
18:11:20 redis_queue.1 | 37302:M 31 Aug 2025 18:11:20.679 * Loading RDB produced by version 8.2.0
18:11:20 redis_queue.1 | 37302:M 31 Aug 2025 18:11:20.679 * RDB age 356 seconds
18:11:20 redis_queue.1 | 37302:M 31 Aug 2025 18:11:20.679 * RDB memory usage when created 1.53 Mb
18:11:20 redis_cache.1 | 37304:M 31 Aug 2025 18:11:20.679 * monotonic clock: POSIX clock_gettime
18:11:20 redis_cache.1 | 37304:M 31 Aug 2025 18:11:20.679 * Running mode=standalone, port=13002.
18:11:20 redis_cache.1 | 37304:M 31 Aug 2025 18:11:20.679 # WARNING: The TCP backlog setting of 511 cannot be enforced because kern.ipc.somaxconn is set to the lower value of 128.
18:11:20 redis_queue.1 | 37302:M 31 Aug 2025 18:11:20.679 * Done loading RDB, keys loaded: 15, keys expired: 2.
18:11:20 redis_queue.1 | 37302:M 31 Aug 2025 18:11:20.679 * DB loaded from disk: 0.001 seconds
18:11:20 redis_queue.1 | 37302:M 31 Aug 2025 18:11:20.679 * Ready to accept connections tcp
18:11:20 redis_cache.1 | 37304:M 31 Aug 2025 18:11:20.679 * Server initialized
18:11:20 redis_cache.1 | 37304:M 31 Aug 2025 18:11:20.679 * Ready to accept connections tcp
18:11:20 socketio.1    | Realtime service listening on:  9002
18:11:21 watch.1       | 
18:11:21 watch.1       | yarn run v1.22.22
18:11:21 watch.1       | $ node esbuild --watch --live-reload
18:11:21 web.1         | [31m[1mWARNING: This is a development server. Do not use it in a production deployment. Use a production WSGI server instead.[0m
18:11:21 web.1         |  * Running on all addresses (0.0.0.0)
18:11:21 web.1         |  * Running on http://127.0.0.1:8002
18:11:21 web.1         |  * Running on http://10.10.10.233:8002
18:11:21 web.1         | [33mPress CTRL+C to quit[0m
18:11:21 web.1         |  * Restarting with stat
18:11:21 web.1         |  * Debugger is active!
18:11:21 web.1         |  * Debugger PIN: 131-770-964
18:11:22 watch.1       | Browserslist: caniuse-lite is outdated. Please run:
18:11:22 watch.1       |   npx update-browserslist-db@latest
18:11:22 watch.1       |   Why you should do it regularly: https://github.com/browserslist/update-db#readme
18:11:26 watch.1       | Watching for changes...
18:11:54 web.1         | 127.0.0.1 - - [31/Aug/2025 18:11:54] "GET / HTTP/1.1" 200 -
18:11:59 web.1         | 127.0.0.1 - - [31/Aug/2025 18:11:59] "[32mGET /app/posapp?id=ded2c7c8-9d31-4a56-9c2b-a13df2dfb2ac&vscodeBrowserReqId=1756644119806 HTTP/1.1[0m" 301 -
18:11:59 web.1         | 127.0.0.1 - - [31/Aug/2025 18:11:59] "GET /login?redirect-to=/app/posapp HTTP/1.1" 200 -
18:11:59 web.1         | 127.0.0.1 - - [31/Aug/2025 18:11:59] "GET /assets/frappe/dist/css/login.bundle.NH26F6KQ.css HTTP/1.1" 200 -
18:11:59 web.1         | 127.0.0.1 - - [31/Aug/2025 18:11:59] "GET /assets/erpnext/dist/js/erpnext-web.bundle.253I7LT4.js HTTP/1.1" 200 -
18:11:59 web.1         | 127.0.0.1 - - [31/Aug/2025 18:11:59] "GET /assets/erpnext/dist/css/erpnext-web.bundle.6RR6JG5J.css HTTP/1.1" 200 -
18:11:59 web.1         | 127.0.0.1 - - [31/Aug/2025 18:11:59] "GET /assets/frappe/dist/css/website.bundle.GD2PKE3K.css HTTP/1.1" 200 -
18:11:59 web.1         | 127.0.0.1 - - [31/Aug/2025 18:11:59] "GET /assets/frappe/dist/js/frappe-web.bundle.ILJTI2Z3.js HTTP/1.1" 200 -
18:11:59 web.1         | 127.0.0.1 - - [31/Aug/2025 18:11:59] "GET /website_script.js HTTP/1.1" 200 -
18:11:59 web.1         | 127.0.0.1 - - [31/Aug/2025 18:11:59] "GET /assets/frappe/dist/js/file_uploader.bundle.S2HCET7T.js HTTP/1.1" 200 -
18:12:43 web.1         | 127.0.0.1 - - [31/Aug/2025 18:12:43] "GET / HTTP/1.1" 200 -
18:12:43 web.1         | 127.0.0.1 - - [31/Aug/2025 18:12:43] "GET /assets/frappe/dist/css/login.bundle.NH26F6KQ.css HTTP/1.1" 200 -
18:12:43 web.1         | 127.0.0.1 - - [31/Aug/2025 18:12:43] "GET /assets/frappe/dist/css/website.bundle.GD2PKE3K.css HTTP/1.1" 200 -
18:12:43 web.1         | 127.0.0.1 - - [31/Aug/2025 18:12:43] "GET /assets/erpnext/dist/css/erpnext-web.bundle.6RR6JG5J.css HTTP/1.1" 200 -
18:12:43 web.1         | 127.0.0.1 - - [31/Aug/2025 18:12:43] "GET /assets/frappe/dist/js/frappe-web.bundle.ILJTI2Z3.js HTTP/1.1" 200 -
18:12:43 web.1         | 127.0.0.1 - - [31/Aug/2025 18:12:43] "GET /assets/erpnext/dist/js/erpnext-web.bundle.253I7LT4.js HTTP/1.1" 200 -
18:12:43 web.1         | 127.0.0.1 - - [31/Aug/2025 18:12:43] "GET /assets/erpnext/images/erpnext-logo.svg HTTP/1.1" 200 -
18:12:43 web.1         | 127.0.0.1 - - [31/Aug/2025 18:12:43] "GET /assets/frappe/css/fonts/inter/InterVariable.woff2 HTTP/1.1" 200 -
18:12:43 web.1         | 127.0.0.1 - - [31/Aug/2025 18:12:43] "GET /website_script.js HTTP/1.1" 200 -
18:12:43 web.1         | 127.0.0.1 - - [31/Aug/2025 18:12:43] "GET /assets/frappe/dist/js/file_uploader.bundle.S2HCET7T.js HTTP/1.1" 200 -
18:12:43 web.1         | 127.0.0.1 - - [31/Aug/2025 18:12:43] "GET /assets/erpnext/images/erpnext-favicon.svg HTTP/1.1" 200 -
18:12:48 web.1         | /Users/sammishthundiyil/frappe-bench-tech/env/lib/python3.13/site-packages/werkzeug/wrappers/request.py:190: DeprecationWarning: login: Sending `cmd` for RPC calls is deprecated, call REST API instead `/api/method/cmd`
18:12:48 web.1         |   resp = f(*args[:-2] + (request,))
18:12:48 web.1         | 127.0.0.1 - - [31/Aug/2025 18:12:48] "POST /login HTTP/1.1" 200 -
